User,Assistant
Generate a water molecule,"{""numAtoms"":3,""atomData"":[{""element"":""O"",""x"":-0.5085,""y"":-0.0535,""z"":0},{""element"":""H"",""x"":-0.5085,""y"":1.0465,""z"":0},{""element"":""H"",""x"":-0.5085,""y"":-0.4202,""z"":1.0371}]}"
Generate an acetone molecule,"{""numAtoms"":10,""atomData"":[{""element"":""C"",""x"":0.1308,""y"":0.4082,""z"":0},{""element"":""O"",""x"":0.1308,""y"":-0.8271,""z"":0},{""element"":""C"",""x"":-1.1337,""y"":1.206,""z"":-0.0009},{""element"":""C"",""x"":1.3953,""y"":1.206,""z"":0.0009},{""element"":""H"",""x"":-1.2541,""y"":1.7097,""z"":0.9896},{""element"":""H"",""x"":1.5157,""y"":1.7097,""z"":-0.9896},{""element"":""H"",""x"":-1.1026,""y"":1.9874,""z"":-0.7981},{""element"":""H"",""x"":-2.0149,""y"":0.5421,""z"":-0.1739},{""element"":""H"",""x"":1.3641,""y"":1.9874,""z"":0.7981},{""element"":""H"",""x"":2.2765,""y"":0.5421,""z"":0.1739}]}"
Glycerol,"{""numAtoms"":14,""atomData"":[{""element"":""H"",""x"":-1.4596,""y"":-0.5037,""z"":0},{""element"":""H"",""x"":-0.0843,""y"":-1.5912,""z"":-0.5557},{""element"":""C"",""x"":-0.7056,""y"":-0.6921,""z"":-0.809},{""element"":""H"",""x"":0.6083,""y"":0.8295,""z"":0.0339},{""element"":""C"",""x"":0.2025,""y"":0.5291,""z"":-0.9724},{""element"":""H"",""x"":1.873,""y"":1.1831,""z"":-2.2155},{""element"":""H"",""x"":0.9707,""y"":-0.2781,""z"":-2.857},{""element"":""C"",""x"":1.3589,""y"":0.2264,""z"":-1.9326},{""element"":""H"",""x"":2.9814,""y"":-0.8103,""z"":-1.8501},{""element"":""O"",""x"":2.2551,""y"":-0.6293,""z"":-1.2429},{""element"":""H"",""x"":-1.9775,""y"":-1.6213,""z"":-1.9282},{""element"":""O"",""x"":-1.3677,""y"":-0.8856,""z"":-2.0508},{""element"":""H"",""x"":-0.9923,""y"":1.386,""z"":-2.2291},{""element"":""O"",""x"":-0.52,""y"":1.6545,""z"":-1.4294}]}"
Generate 5 water molecules,"{""numAtoms"":15,""atomData"":[{""element"":""O"",""x"":99.814,""y"":100.835,""z"":101.232},{""element"":""H"",""x"":99.3292,""y"":99.9768,""z"":101.063},{""element"":""H"",""x"":99.1516,""y"":101.561,""z"":101.414},{""element"":""O"",""x"":98.804,""y"":98.5122,""z"":97.7581},{""element"":""H"",""x"":99.7821,""y"":98.6469,""z"":97.9167},{""element"":""H"",""x"":98.4218,""y"":99.3265,""z"":97.3213},{""element"":""O"",""x"":98.0703,""y"":98.5169,""z"":100.438},{""element"":""H"",""x"":97.1728,""y"":98.8786,""z"":100.69},{""element"":""H"",""x"":98.194,""y"":98.5922,""z"":99.4481},{""element"":""O"",""x"":102.36,""y"":101.551,""z"":99.9645},{""element"":""H"",""x"":102.675,""y"":102.37,""z"":100.444},{""element"":""H"",""x"":101.556,""y"":101.18,""z"":100.43},{""element"":""O"",""x"":101.665,""y"":98.3161,""z"":98.3194},{""element"":""H"",""x"":101.904,""y"":99.2338,""z"":98.002},{""element"":""H"",""x"":102.224,""y"":97.6409,""z"":97.8377}]}"
Caffiene molecule,"{""numAtoms"":24,""atomData"":[{""element"":""O"",""x"":0.47,""y"":2.5688,""z"":0.0006},{""element"":""O"",""x"":-3.1271,""y"":-0.4436,""z"":-0.0003},{""element"":""N"",""x"":-0.9686,""y"":-1.3125,""z"":0},{""element"":""N"",""x"":2.2182,""y"":0.1412,""z"":-0.0003},{""element"":""N"",""x"":-1.3477,""y"":1.0797,""z"":-0.0001},{""element"":""N"",""x"":1.4119,""y"":-1.9372,""z"":0.0002},{""element"":""C"",""x"":0.8579,""y"":0.2592,""z"":-0.0008},{""element"":""C"",""x"":0.3897,""y"":-1.0264,""z"":-0.0004},{""element"":""C"",""x"":0.0307,""y"":1.422,""z"":-0.0006},{""element"":""C"",""x"":-1.9061,""y"":-0.2495,""z"":-0.0004},{""element"":""C"",""x"":2.5032,""y"":-1.1998,""z"":0.0003},{""element"":""C"",""x"":-1.4276,""y"":-2.696,""z"":0.0008},{""element"":""C"",""x"":3.1926,""y"":1.2061,""z"":0.0003},{""element"":""C"",""x"":-2.2969,""y"":2.1881,""z"":0.0007},{""element"":""H"",""x"":3.5163,""y"":-1.5787,""z"":0.0008},{""element"":""H"",""x"":-1.0451,""y"":-3.1973,""z"":-0.8937},{""element"":""H"",""x"":-2.5186,""y"":-2.7596,""z"":0.0011},{""element"":""H"",""x"":-1.0447,""y"":-3.1963,""z"":0.8957},{""element"":""H"",""x"":4.1992,""y"":0.7801,""z"":0.0002},{""element"":""H"",""x"":3.0468,""y"":1.8092,""z"":-0.8992},{""element"":""H"",""x"":3.0466,""y"":1.8083,""z"":0.9004},{""element"":""H"",""x"":-1.8087,""y"":3.1651,""z"":-0.0003},{""element"":""H"",""x"":-2.9322,""y"":2.1027,""z"":0.8881},{""element"":""H"",""x"":-2.9346,""y"":2.1021,""z"":-0.8849}]}"
Generate Hexane molecule,"{""numAtoms"":20,""atomData"":[{""element"":""C"",""x"":0.5826,""y"":-0.3528,""z"":0},{""element"":""C"",""x"":6.8688,""y"":0.0863,""z"":0},{""element"":""C"",""x"":3.0748,""y"":-0.5193,""z"":0},{""element"":""C"",""x"":4.3766,""y"":0.2529,""z"":0},{""element"":""C"",""x"":5.5703,""y"":-0.6782,""z"":0},{""element"":""C"",""x"":1.8811,""y"":0.4117,""z"":0},{""element"":""H"",""x"":7.7346,""y"":-0.6186,""z"":0},{""element"":""H"",""x"":-0.2832,""y"":0.3522,""z"":0},{""element"":""H"",""x"":0.5082,""y"":-1.0038,""z"":0.9048},{""element"":""H"",""x"":0.5082,""y"":-1.0038,""z"":-0.9048},{""element"":""H"",""x"":6.9432,""y"":0.7374,""z"":-0.9048},{""element"":""H"",""x"":6.9432,""y"":0.7374,""z"":0.9048},{""element"":""H"",""x"":1.9265,""y"":1.0766,""z"":-0.903},{""element"":""H"",""x"":1.9265,""y"":1.0766,""z"":0.903},{""element"":""H"",""x"":5.5249,""y"":-1.343,""z"":-0.903},{""element"":""H"",""x"":5.5249,""y"":-1.343,""z"":0.903},{""element"":""H"",""x"":3.0318,""y"":-1.1838,""z"":0.9031},{""element"":""H"",""x"":3.0318,""y"":-1.1838,""z"":-0.9031},{""element"":""H"",""x"":4.4196,""y"":0.9174,""z"":-0.9031},{""element"":""H"",""x"":4.4196,""y"":0.9174,""z"":0.9031}]}"
Aspirin,"{""atomData"":[{""element"":""O"",""x"":1.2333,""y"":0.554,""z"":0.7792},{""element"":""O"",""x"":-0.6952,""y"":-2.7148,""z"":-0.7502},{""element"":""O"",""x"":0.7958,""y"":-2.1843,""z"":0.8685},{""element"":""O"",""x"":1.7813,""y"":0.8105,""z"":-1.4821},{""element"":""C"",""x"":-0.0857,""y"":0.6088,""z"":0.4403},{""element"":""C"",""x"":-0.7927,""y"":-0.5515,""z"":0.1244},{""element"":""C"",""x"":-0.7288,""y"":1.8464,""z"":0.4133},{""element"":""C"",""x"":-2.1426,""y"":-0.4741,""z"":-0.2184},{""element"":""C"",""x"":-2.0787,""y"":1.9238,""z"":0.0706},{""element"":""C"",""x"":-2.7855,""y"":0.7636,""z"":-0.2453},{""element"":""C"",""x"":-0.1409,""y"":-1.8536,""z"":0.1477},{""element"":""C"",""x"":2.1094,""y"":0.6715,""z"":-0.3113},{""element"":""C"",""x"":3.5305,""y"":0.5996,""z"":0.1635},{""element"":""H"",""x"":-0.1851,""y"":2.7545,""z"":0.6593},{""element"":""H"",""x"":-2.7247,""y"":-1.3605,""z"":-0.4564},{""element"":""H"",""x"":-2.5797,""y"":2.8872,""z"":0.0506},{""element"":""H"",""x"":-3.8374,""y"":0.8238,""z"":-0.509},{""element"":""H"",""x"":3.729,""y"":1.4184,""z"":0.8593},{""element"":""H"",""x"":4.2045,""y"":0.6969,""z"":-0.6924},{""element"":""H"",""x"":3.7105,""y"":-0.3659,""z"":0.6426},{""element"":""H"",""x"":-0.2555,""y"":-3.5916,""z"":-0.7337}],""numAtoms"":21}"
Generate an adrenaline molecule,"{""atomData"":[{""element"":""O"",""x"":1.7394,""y"":-2.1169,""z"":-1.0894},{""element"":""O"",""x"":-2.2941,""y"":1.0781,""z"":-1.7979},{""element"":""O"",""x"":-3.6584,""y"":0.5842,""z"":0.5722},{""element"":""N"",""x"":2.6359,""y"":1.0243,""z"":0.703},{""element"":""C"",""x"":1.6787,""y"":-1.1447,""z"":-0.0373},{""element"":""C"",""x"":0.2684,""y"":-0.6866,""z"":0.1208},{""element"":""C"",""x"":2.6376,""y"":0.0193,""z"":-0.3576},{""element"":""C"",""x"":-0.3658,""y"":-0.0099,""z"":-0.9212},{""element"":""C"",""x"":-0.4164,""y"":-0.9343,""z"":1.3105},{""element"":""C"",""x"":-1.6849,""y"":0.4191,""z"":-0.7732},{""element"":""C"",""x"":-1.7353,""y"":-0.5053,""z"":1.4585},{""element"":""C"",""x"":-2.3696,""y"":0.1713,""z"":0.4166},{""element"":""C"",""x"":3.5645,""y"":2.1013,""z"":0.395},{""element"":""H"",""x"":2.021,""y"":-1.6511,""z"":0.8741},{""element"":""H"",""x"":2.3808,""y"":0.4742,""z"":-1.3225},{""element"":""H"",""x"":3.6478,""y"":-0.3931,""z"":-0.4831},{""element"":""H"",""x"":0.1501,""y"":0.1801,""z"":-1.8589},{""element"":""H"",""x"":0.064,""y"":-1.4598,""z"":2.1315},{""element"":""H"",""x"":2.9013,""y"":0.5888,""z"":1.5858},{""element"":""H"",""x"":-2.2571,""y"":-0.705,""z"":2.3907},{""element"":""H"",""x"":2.6646,""y"":-2.4067,""z"":-1.1652},{""element"":""H"",""x"":3.2862,""y"":2.6124,""z"":-0.5325},{""element"":""H"",""x"":4.5925,""y"":1.7346,""z"":0.3078},{""element"":""H"",""x"":3.5401,""y"":2.8441,""z"":1.1985},{""element"":""H"",""x"":-3.2008,""y"":1.2997,""z"":-1.5231},{""element"":""H"",""x"":-3.969,""y"":0.3259,""z"":1.457}],""numAtoms"":26}"
Generate Dopamine,"{""atomData"":[{""element"":""O"",""x"":-2.2392,""y"":1.9626,""z"":0.0548},{""element"":""O"",""x"":-3.3557,""y"":-0.5612,""z"":0.3868},{""element"":""N"",""x"":4.4081,""y"":0.2624,""z"":0.3445},{""element"":""C"",""x"":2.1628,""y"":-0.0212,""z"":-0.6613},{""element"":""C"",""x"":0.704,""y"":-0.1603,""z"":-0.385},{""element"":""C"",""x"":2.9862,""y"":0.1008,""z"":0.6289},{""element"":""C"",""x"":-0.0999,""y"":0.9759,""z"":-0.2919},{""element"":""C"",""x"":0.1434,""y"":-1.4267,""z"":-0.2187},{""element"":""C"",""x"":-1.4642,""y"":0.8456,""z"":-0.0326},{""element"":""C"",""x"":-1.2209,""y"":-1.557,""z"":0.0407},{""element"":""C"",""x"":-2.0247,""y"":-0.4208,""z"":0.1336},{""element"":""H"",""x"":2.5111,""y"":-0.8817,""z"":-1.2481},{""element"":""H"",""x"":2.3332,""y"":0.8564,""z"":-1.2993},{""element"":""H"",""x"":2.849,""y"":-0.7888,""z"":1.2541},{""element"":""H"",""x"":2.6457,""y"":0.9593,""z"":1.2192},{""element"":""H"",""x"":0.3315,""y"":1.9659,""z"":-0.4187},{""element"":""H"",""x"":0.7594,""y"":-2.3195,""z"":-0.2869},{""element"":""H"",""x"":-1.6445,""y"":-2.5496,""z"":0.1686},{""element"":""H"",""x"":4.5468,""y"":1.0868,""z"":-0.2388},{""element"":""H"",""x"":4.7362,""y"":-0.5285,""z"":-0.2089},{""element"":""H"",""x"":-3.1541,""y"":1.6866,""z"":0.2377},{""element"":""H"",""x"":-3.5639,""y"":-1.5074,""z"":0.4721}],""numAtoms"":22}"
Generate glucose,"{""atomData"":[{""element"":""O"",""x"":-0.6679,""y"":1.1587,""z"":0.257},{""element"":""O"",""x"":-0.887,""y"":-2.4483,""z"":-0.3388},{""element"":""O"",""x"":1.8623,""y"":-2.0693,""z"":0.4696},{""element"":""O"",""x"":2.8609,""y"":0.5414,""z"":-0.4619},{""element"":""O"",""x"":1.1222,""y"":2.6552,""z"":0.2574},{""element"":""O"",""x"":-3.3742,""y"":0.9717,""z"":-0.1865},{""element"":""C"",""x"":-0.3727,""y"":-1.247,""z"":0.23},{""element"":""C"",""x"":1.0856,""y"":-1.0709,""z"":-0.194},{""element"":""C"",""x"":-1.2211,""y"":-0.0621,""z"":-0.2375},{""element"":""C"",""x"":1.6082,""y"":0.3151,""z"":0.1839},{""element"":""C"",""x"":0.6388,""y"":1.4132,""z"":-0.2534},{""element"":""C"",""x"":-2.655,""y"":-0.1577,""z"":0.274},{""element"":""H"",""x"":-0.4248,""y"":-1.3522,""z"":1.3206},{""element"":""H"",""x"":1.2066,""y"":-1.2487,""z"":-1.2697},{""element"":""H"",""x"":-1.2548,""y"":-0.0098,""z"":-1.3343},{""element"":""H"",""x"":1.7952,""y"":0.3598,""z"":1.2636},{""element"":""H"",""x"":0.5967,""y"":1.5141,""z"":-1.344},{""element"":""H"",""x"":-2.6916,""y"":-0.1535,""z"":1.3685},{""element"":""H"",""x"":-3.1564,""y"":-1.0581,""z"":-0.0922},{""element"":""H"",""x"":-0.8514,""y"":-2.3615,""z"":-1.3066},{""element"":""H"",""x"":1.4973,""y"":-2.9356,""z"":0.22},{""element"":""H"",""x"":2.7165,""y"":0.4989,""z"":-1.4227},{""element"":""H"",""x"":1.4876,""y"":2.5033,""z"":1.1448},{""element"":""H"",""x"":-2.9192,""y"":1.7652,""z"":0.144}],""numAtoms"":24}"
